start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
114:36.31,114:36.39,6876.31,6876.39,0.08,-78.4,0.92,0.000,,gate chatter
114:36.78,114:36.81,6876.78,6876.81,0.03,-77.8,0.98,0.000,,gate chatter
114:37.97,114:37.98,6877.97,6877.98,0.01,-84.6,0.79,0.000,,gate chatter
114:38.20,114:38.50,6878.20,6878.50,0.30,-65.2,1.00,0.056,611,gate chatter
114:38.87,114:38.91,6878.87,6878.91,0.04,-80.4,1.00,0.000,,gate chatter
114:39.11,114:39.14,6879.11,6879.14,0.03,-79.2,1.00,0.000,,gate chatter
114:39.78,114:40.02,6879.78,6880.02,0.24,-59.0,0.92,0.061,166,gate chatter
115:16.15,115:16.40,6916.15,6916.40,0.25,-21.7,0.91,0.091,391,gate chatter
115:51.00,115:51.21,6951.00,6951.21,0.21,-54.2,0.99,0.026,429,gate chatter
115:52.46,115:52.73,6952.46,6952.73,0.27,-60.2,1.00,0.054,662,gate chatter
115:52.88,115:52.90,6952.88,6952.90,0.02,-83.8,1.00,0.000,,gate chatter
115:53.89,115:53.99,6953.89,6953.99,0.10,-58.9,0.97,0.049,289,gate chatter
115:55.07,115:55.96,6955.07,6955.96,0.89,-27.0,0.98,0.067,286,"quiet, reference talking"
116:52.20,116:52.21,7012.20,7012.21,0.01,-84.4,0.48,0.000,,gate chatter
117:08.03,117:08.36,7028.03,7028.36,0.33,-22.3,1.00,0.069,443,gate chatter
117:20.15,117:20.38,7040.15,7040.38,0.23,-20.9,0.99,0.096,477,gate chatter
117:41.39,117:41.60,7061.39,7061.60,0.21,-63.3,1.00,0.024,127,gate chatter
117:41.76,117:41.80,7061.76,7061.80,0.04,-83.2,0.98,0.000,,gate chatter
118:08.37,118:08.55,7088.37,7088.55,0.18,-80.2,0.67,0.115,51,gate chatter
118:08.69,118:08.72,7088.69,7088.72,0.03,-79.3,0.76,0.000,,gate chatter
118:09.63,118:09.81,7089.63,7089.81,0.18,-64.1,0.89,0.085,123,gate chatter
118:10.03,118:10.11,7090.03,7090.11,0.08,-76.0,0.75,0.000,,gate chatter
118:10.81,118:11.41,7090.81,7091.41,0.60,-63.7,0.86,0.046,48,gate chatter
118:12.99,118:13.01,7092.99,7093.01,0.02,-84.1,1.00,0.000,,gate chatter
118:50.01,118:50.20,7130.01,7130.20,0.19,-39.9,0.82,0.169,207,gate chatter
118:50.96,118:51.35,7130.96,7131.35,0.39,-40.2,0.98,0.124,27,gate chatter
118:51.80,118:51.90,7131.80,7131.90,0.10,-68.7,0.92,0.055,289,gate chatter
118:52.15,118:52.21,7132.15,7132.21,0.06,-64.7,0.82,0.000,,gate chatter
118:53.38,118:53.52,7133.38,7133.52,0.14,-52.5,0.97,0.072,284,gate chatter
118:53.73,118:53.96,7133.73,7133.96,0.23,-49.8,1.00,0.026,89,gate chatter
118:54.36,118:54.58,7134.36,7134.58,0.22,-39.8,0.97,0.029,671,gate chatter
118:55.00,118:55.01,7135.00,7135.01,0.01,-63.1,1.00,0.000,,gate chatter
118:55.67,118:55.81,7135.67,7135.81,0.14,-46.9,1.00,0.105,481,gate chatter
119:02.77,119:02.95,7142.77,7142.95,0.18,-28.2,1.00,0.083,237,gate chatter
119:03.83,119:03.93,7143.83,7143.93,0.10,-51.6,0.91,0.054,137,gate chatter
119:04.15,119:04.31,7144.15,7144.31,0.16,-55.8,0.94,0.055,522,gate chatter
119:04.89,119:04.97,7144.89,7144.97,0.08,-49.1,0.95,0.000,,gate chatter
119:05.33,119:05.37,7145.33,7145.37,0.04,-58.2,0.97,0.000,,gate chatter
119:05.76,119:06.17,7145.76,7146.17,0.41,-41.4,1.00,0.125,219,gate chatter
119:29.18,119:29.70,7169.18,7169.70,0.52,-45.8,0.91,0.029,22,gate chatter
119:42.56,119:42.74,7182.56,7182.74,0.18,-51.1,0.59,0.251,390,gate chatter
119:42.85,119:42.90,7182.85,7182.90,0.05,-52.8,0.98,0.000,,gate chatter
119:43.15,119:43.17,7183.15,7183.17,0.02,-62.3,1.00,0.000,,gate chatter
